application_id,gender,international,gpa,major,race,gmat,work_exp,work_industry,admission,work_exp_group,gmat_group,gpa_group
76,Female,False,3.24,Humanities,Hispanic,590.0,4.0,Nonprofit/Gov,Waitlist,4-6 years,550–599,3.00–3.24
77,Male,False,3.18,Humanities,Black,640.0,4.0,PE/VC,Deny,4-6 years,600–649,3.00–3.24
78,Male,True,3.2,Humanities,International,640.0,5.0,Nonprofit/Gov,Deny,4-6 years,600–649,3.00–3.24
79,Male,False,3.17,Business,Hispanic,640.0,4.0,Other,Deny,4-6 years,600–649,3.00–3.24
80,Female,False,3.1,STEM,Asian,680.0,4.0,Health Care,Admit,4-6 years,650–699,3.00–3.24
81,Male,False,2.93,Humanities,Hispanic,620.0,4.0,Technology,Deny,4-6 years,600–649,2.75–2.99
82,Male,True,3.2,STEM,International,730.0,4.0,PE/VC,Deny,4-6 years,700–749,3.00–3.24
83,Male,False,3.52,STEM,Hispanic,610.0,6.0,Consulting,Deny,4-6 years,600–649,3.50–3.74
84,Female,False,3.35,Humanities,White,710.0,6.0,Consulting,Admit,4-6 years,700–749,3.25–3.49
85,Male,False,3.15,STEM,Hispanic,620.0,4.0,PE/VC,Deny,4-6 years,600–649,3.00–3.24
86,Male,False,3.21,Business,Hispanic,640.0,6.0,Nonprofit/Gov,Deny,4-6 years,600–649,3.00–3.24
87,Male,False,3.1,Business,Hispanic,670.0,7.0,Financial Services,Deny,7+ years,650–699,3.00–3.24
88,Male,False,3.48,Business,White,710.0,5.0,Consulting,Admit,4-6 years,700–749,3.25–3.49
89,Male,False,3.15,Humanities,Asian,650.0,6.0,Consulting,Deny,4-6 years,600–649,3.00–3.24
90,Male,False,3.09,Business,Other,610.0,6.0,Consulting,Deny,4-6 years,600–649,3.00–3.24
91,Female,False,3.14,Humanities,Hispanic,660.0,6.0,Consulting,Deny,4-6 years,650–699,3.00–3.24
92,Male,False,2.97,STEM,Asian,580.0,4.0,Consulting,Deny,4-6 years,550–599,2.75–2.99
93,Male,False,3.17,STEM,White,670.0,5.0,PE/VC,Deny,4-6 years,650–699,3.00–3.24
94,Female,False,3.23,Humanities,White,620.0,7.0,Nonprofit/Gov,Admit,7+ years,600–649,3.00–3.24
95,Female,False,3.05,Humanities,White,600.0,5.0,Other,Admit,4-6 years,550–599,3.00–3.24
96,Male,False,3.32,Business,Black,670.0,4.0,Consulting,Admit,4-6 years,650–699,3.25–3.49
97,Male,False,3.08,Humanities,Asian,640.0,5.0,Technology,Deny,4-6 years,600–649,3.00–3.24
98,Male,True,3.36,STEM,International,690.0,5.0,CPG,Deny,4-6 years,650–699,3.25–3.49
99,Male,False,3.1,Humanities,White,610.0,5.0,Health Care,Deny,4-6 years,600–649,3.00–3.24
100,Female,False,3.38,Humanities,White,660.0,5.0,Consulting,Admit,4-6 years,650–699,3.25–3.49
101,Male,False,3.26,Humanities,Hispanic,650.0,6.0,Real Estate,Deny,4-6 years,600–649,3.25–3.49
102,Male,False,3.2,Humanities,Hispanic,600.0,4.0,Investment Banking,Deny,4-6 years,550–599,3.00–3.24
103,Male,False,3.65,Humanities,Black,700.0,6.0,Health Care,Deny,4-6 years,650–699,3.50–3.74
104,Female,True,3.34,Business,International,650.0,5.0,Financial Services,Admit,4-6 years,600–649,3.25–3.49
105,Female,False,3.3,Humanities,Hispanic,670.0,4.0,Nonprofit/Gov,Admit,4-6 years,650–699,3.25–3.49
106,Male,False,3.11,Business,Asian,610.0,6.0,PE/VC,Deny,4-6 years,600–649,3.00–3.24
107,Male,True,3.08,Humanities,International,740.0,4.0,Health Care,Deny,4-6 years,700–749,3.00–3.24
108,Male,False,3.2,STEM,White,590.0,5.0,Consulting,Deny,4-6 years,550–599,3.00–3.24
109,Male,True,3.3,STEM,International,590.0,5.0,Other,Deny,4-6 years,550–599,3.25–3.49
110,Male,False,3.21,Humanities,Black,610.0,4.0,PE/VC,Deny,4-6 years,600–649,3.00–3.24
111,Female,False,3.26,Humanities,Black,670.0,6.0,Consulting,Deny,4-6 years,650–699,3.25–3.49
112,Female,False,3.29,STEM,Hispanic,640.0,6.0,Investment Banking,Deny,4-6 years,600–649,3.25–3.49
113,Female,False,3.25,Humanities,Hispanic,640.0,5.0,Other,Deny,4-6 years,600–649,3.00–3.24
114,Female,False,3.2,Humanities,Asian,680.0,7.0,Consulting,Admit,7+ years,650–699,3.00–3.24
115,Female,False,3.23,STEM,Asian,610.0,5.0,Nonprofit/Gov,Admit,4-6 years,600–649,3.00–3.24
116,Male,False,3.32,Humanities,Hispanic,670.0,4.0,Media/Entertainment,Deny,4-6 years,650–699,3.25–3.49
117,Female,False,3.46,STEM,White,660.0,5.0,Consulting,Admit,4-6 years,650–699,3.25–3.49
118,Female,False,3.29,Humanities,Black,610.0,4.0,Consulting,Deny,4-6 years,600–649,3.25–3.49
119,Male,False,3.33,Humanities,White,680.0,4.0,Financial Services,Admit,4-6 years,650–699,3.25–3.49
120,Female,True,2.99,Humanities,International,570.0,6.0,Real Estate,Admit,4-6 years,550–599,2.75–2.99
121,Male,False,3.22,Business,Black,610.0,5.0,Technology,Deny,4-6 years,600–649,3.00–3.24
122,Female,True,3.29,Business,International,710.0,4.0,Consulting,Admit,4-6 years,700–749,3.25–3.49
123,Male,True,3.26,Humanities,International,650.0,4.0,PE/VC,Deny,4-6 years,600–649,3.25–3.49
124,Male,False,3.25,Humanities,Asian,620.0,6.0,Technology,Deny,4-6 years,600–649,3.00–3.24
125,Male,True,3.32,STEM,International,630.0,6.0,Technology,Deny,4-6 years,600–649,3.25–3.49
126,Male,False,3.44,Business,White,740.0,6.0,PE/VC,Deny,4-6 years,700–749,3.25–3.49
127,Male,True,3.4,Humanities,International,730.0,5.0,Nonprofit/Gov,Deny,4-6 years,700–749,3.25–3.49
128,Female,False,3.51,Humanities,Black,700.0,7.0,Nonprofit/Gov,Deny,7+ years,650–699,3.50–3.74
129,Female,False,3.43,Humanities,Black,710.0,7.0,Other,Deny,7+ years,700–749,3.25–3.49
130,Female,False,3.27,Business,White,660.0,6.0,Other,Admit,4-6 years,650–699,3.25–3.49
131,Male,False,3.34,Humanities,White,700.0,4.0,Consulting,Admit,4-6 years,650–699,3.25–3.49
132,Male,False,3.07,Humanities,Other,640.0,6.0,Other,Deny,4-6 years,600–649,3.00–3.24
133,Male,True,3.36,Humanities,International,670.0,2.0,PE/VC,Deny,1-3 years,650–699,3.25–3.49
134,Male,False,3.21,Humanities,White,690.0,7.0,Real Estate,Deny,7+ years,650–699,3.00–3.24
135,Female,False,3.28,Humanities,White,610.0,6.0,Consulting,Admit,4-6 years,600–649,3.25–3.49
136,Female,False,3.06,Business,Black,650.0,5.0,Consulting,Deny,4-6 years,600–649,3.00–3.24
137,Male,False,3.32,Business,White,670.0,4.0,Financial Services,Deny,4-6 years,650–699,3.25–3.49
138,Male,True,3.33,Humanities,International,670.0,5.0,Consulting,Deny,4-6 years,650–699,3.25–3.49
139,Female,False,3.31,STEM,Asian,600.0,5.0,Investment Banking,Admit,4-6 years,550–599,3.25–3.49
140,Male,False,3.16,STEM,Hispanic,570.0,5.0,Technology,Deny,4-6 years,550–599,3.00–3.24
141,Male,False,3.2,STEM,Asian,600.0,6.0,Consulting,Deny,4-6 years,550–599,3.00–3.24
142,Male,True,3.17,STEM,International,600.0,4.0,Investment Banking,Deny,4-6 years,550–599,3.00–3.24
143,Female,True,3.48,STEM,International,780.0,5.0,PE/VC,Admit,4-6 years,750–800,3.25–3.49
144,Male,False,3.1,STEM,Asian,570.0,5.0,Nonprofit/Gov,Deny,4-6 years,550–599,3.00–3.24
145,Male,False,2.95,Business,Asian,590.0,5.0,Investment Management,Deny,4-6 years,550–599,2.75–2.99
146,Male,False,3.32,Humanities,White,570.0,6.0,Technology,Deny,4-6 years,550–599,3.25–3.49
147,Male,False,3.24,Humanities,Black,660.0,7.0,Investment Management,Deny,7+ years,650–699,3.00–3.24
148,Female,False,3.21,STEM,Black,580.0,6.0,Financial Services,Deny,4-6 years,550–599,3.00–3.24
149,Male,False,3.32,Humanities,Asian,660.0,4.0,Investment Banking,Deny,4-6 years,650–699,3.25–3.49
150,Male,False,3.2,Humanities,Hispanic,630.0,6.0,Technology,Deny,4-6 years,600–649,3.00–3.24
151,Male,False,3.37,Business,Asian,710.0,5.0,Technology,Admit,4-6 years,700–749,3.25–3.49
152,Male,False,3.14,Humanities,Asian,620.0,5.0,Technology,Deny,4-6 years,600–649,3.00–3.24
153,Female,True,3.32,Humanities,International,650.0,5.0,Real Estate,Admit,4-6 years,600–649,3.25–3.49
154,Female,True,3.13,Business,International,580.0,4.0,Consulting,Admit,4-6 years,550–599,3.00–3.24
155,Female,False,3.55,Humanities,Asian,680.0,6.0,PE/VC,Admit,4-6 years,650–699,3.50–3.74
156,Male,False,3.22,STEM,White,620.0,5.0,PE/VC,Deny,4-6 years,600–649,3.00–3.24
157,Male,True,3.42,STEM,International,630.0,6.0,Financial Services,Deny,4-6 years,600–649,3.25–3.49
158,Female,False,3.18,STEM,Asian,650.0,6.0,Nonprofit/Gov,Admit,4-6 years,600–649,3.00–3.24
159,Male,True,3.14,STEM,International,620.0,6.0,Nonprofit/Gov,Deny,4-6 years,600–649,3.00–3.24
160,Male,True,3.24,Humanities,International,680.0,7.0,PE/VC,Deny,7+ years,650–699,3.00–3.24
161,Male,False,3.3,Business,White,630.0,3.0,PE/VC,Deny,1-3 years,600–649,3.25–3.49
162,Female,False,3.2,STEM,White,610.0,4.0,Consulting,Admit,4-6 years,600–649,3.00–3.24
163,Male,False,3.41,Humanities,Black,710.0,4.0,PE/VC,Deny,4-6 years,700–749,3.25–3.49
164,Male,True,3.03,STEM,International,570.0,5.0,Consulting,Deny,4-6 years,550–599,3.00–3.24
165,Male,False,3.3,Humanities,Asian,640.0,9.0,Consulting,Deny,7+ years,600–649,3.25–3.49
166,Female,False,3.17,STEM,White,600.0,4.0,Nonprofit/Gov,Admit,4-6 years,550–599,3.00–3.24
167,Female,False,3.43,Business,White,680.0,3.0,Consulting,Admit,1-3 years,650–699,3.25–3.49
168,Male,False,3.36,STEM,Black,700.0,5.0,PE/VC,Admit,4-6 years,650–699,3.25–3.49
169,Female,True,3.15,STEM,International,650.0,5.0,Investment Banking,Admit,4-6 years,600–649,3.00–3.24
170,Female,False,3.23,Business,Black,680.0,6.0,Health Care,Admit,4-6 years,650–699,3.00–3.24
171,Female,False,3.36,Humanities,Asian,710.0,4.0,CPG,Admit,4-6 years,700–749,3.25–3.49
172,Male,False,3.0,STEM,Asian,570.0,6.0,Financial Services,Deny,4-6 years,550–599,2.75–2.99
173,Male,False,3.25,Humanities,Asian,640.0,7.0,PE/VC,Deny,7+ years,600–649,3.00–3.24
174,Male,False,3.15,Humanities,Hispanic,620.0,3.0,PE/VC,Deny,1-3 years,600–649,3.00–3.24
175,Female,True,3.17,STEM,International,630.0,6.0,Nonprofit/Gov,Admit,4-6 years,600–649,3.00–3.24
176,Male,False,2.97,STEM,Asian,610.0,6.0,Technology,Deny,4-6 years,600–649,2.75–2.99
177,Female,False,3.25,Humanities,White,670.0,5.0,Consulting,Admit,4-6 years,650–699,3.00–3.24
178,Male,False,3.33,Humanities,Other,640.0,3.0,Other,Deny,1-3 years,600–649,3.25–3.49
179,Male,False,3.43,Business,Asian,680.0,3.0,Consulting,Deny,1-3 years,650–699,3.25–3.49
180,Male,True,3.17,Humanities,International,670.0,4.0,Technology,Deny,4-6 years,650–699,3.00–3.24
181,Male,True,3.4,Business,International,750.0,4.0,Nonprofit/Gov,Deny,4-6 years,700–749,3.25–3.49
182,Male,False,3.24,STEM,Black,600.0,5.0,Investment Management,Deny,4-6 years,550–599,3.00–3.24
183,Male,False,3.34,Humanities,White,700.0,5.0,Consulting,Admit,4-6 years,650–699,3.25–3.49
184,Male,True,3.29,Humanities,International,660.0,6.0,Energy,Deny,4-6 years,650–699,3.25–3.49
185,Male,True,3.04,Business,International,660.0,6.0,Nonprofit/Gov,Deny,4-6 years,650–699,3.00–3.24
186,Male,True,3.4,Humanities,International,690.0,6.0,Other,Admit,4-6 years,650–699,3.25–3.49
187,Male,True,3.01,Humanities,International,670.0,6.0,Technology,Deny,4-6 years,650–699,3.00–3.24
188,Male,False,3.54,STEM,Hispanic,700.0,5.0,Other,Deny,4-6 years,650–699,3.50–3.74
189,Male,False,3.23,STEM,White,710.0,6.0,PE/VC,Deny,4-6 years,700–749,3.00–3.24
190,Male,True,3.15,Humanities,International,650.0,6.0,Consulting,Deny,4-6 years,600–649,3.00–3.24
191,Female,False,3.32,Humanities,White,730.0,5.0,Nonprofit/Gov,Admit,4-6 years,700–749,3.25–3.49
192,Male,False,3.47,Business,Asian,690.0,7.0,Investment Management,Deny,7+ years,650–699,3.25–3.49
193,Female,False,3.29,Business,Black,590.0,3.0,Real Estate,Deny,1-3 years,550–599,3.25–3.49
194,Male,False,3.2,STEM,Asian,690.0,5.0,Energy,Deny,4-6 years,650–699,3.00–3.24
195,Female,True,3.48,Humanities,International,670.0,5.0,Financial Services,Admit,4-6 years,650–699,3.25–3.49
196,Female,False,3.14,Business,White,600.0,3.0,Nonprofit/Gov,Admit,1-3 years,550–599,3.00–3.24
197,Male,True,3.45,Humanities,International,620.0,5.0,Consulting,Deny,4-6 years,600–649,3.25–3.49
198,Male,False,3.31,STEM,Hispanic,620.0,3.0,PE/VC,Deny,1-3 years,600–649,3.25–3.49
199,Female,False,3.6,Humanities,Other,670.0,5.0,Consulting,Admit,4-6 years,650–699,3.50–3.74
200,Male,False,3.5,STEM,Hispanic,700.0,6.0,Investment Management,Admit,4-6 years,650–699,3.25–3.49
201,Male,False,3.61,Business,Hispanic,690.0,5.0,Technology,Deny,4-6 years,650–699,3.50–3.74
202,Male,False,3.11,STEM,Black,650.0,5.0,Financial Services,Deny,4-6 years,600–649,3.00–3.24
203,Male,True,3.1,Humanities,International,580.0,6.0,Consulting,Deny,4-6 years,550–599,3.00–3.24
204,Male,True,3.06,STEM,International,620.0,6.0,Nonprofit/Gov,Deny,4-6 years,600–649,3.00–3.24
205,Male,True,3.18,Business,International,630.0,3.0,Nonprofit/Gov,Deny,1-3 years,600–649,3.00–3.24
206,Male,False,3.05,Humanities,White,570.0,8.0,Consulting,Deny,7+ years,550–599,3.00–3.24
207,Male,False,3.45,Humanities,Other,700.0,6.0,Consulting,Admit,4-6 years,650–699,3.25–3.49
208,Female,True,3.26,Business,International,630.0,6.0,Consulting,Admit,4-6 years,600–649,3.25–3.49
209,Male,False,3.35,Business,White,660.0,5.0,Consulting,Admit,4-6 years,650–699,3.25–3.49
210,Female,False,3.23,Business,White,670.0,5.0,Nonprofit/Gov,Admit,4-6 years,650–699,3.00–3.24
211,Male,True,3.11,Business,International,640.0,4.0,Nonprofit/Gov,Deny,4-6 years,600–649,3.00–3.24
212,Female,False,3.44,Business,White,750.0,5.0,Technology,Admit,4-6 years,700–749,3.25–3.49
213,Female,False,3.14,Humanities,Black,580.0,5.0,Technology,Deny,4-6 years,550–599,3.00–3.24
214,Female,False,3.24,Business,White,660.0,6.0,Technology,Admit,4-6 years,650–699,3.00–3.24
215,Male,True,3.43,Humanities,International,610.0,5.0,Technology,Deny,4-6 years,600–649,3.25–3.49
216,Male,False,3.27,STEM,Asian,600.0,5.0,PE/VC,Deny,4-6 years,550–599,3.25–3.49
217,Male,False,3.41,Humanities,Asian,670.0,5.0,Consulting,Deny,4-6 years,650–699,3.25–3.49
218,Female,False,3.02,Humanities,Asian,570.0,4.0,Consulting,Admit,4-6 years,550–599,3.00–3.24
219,Male,False,3.24,STEM,White,670.0,3.0,Consulting,Deny,1-3 years,650–699,3.00–3.24
220,Male,False,3.23,STEM,Black,630.0,5.0,Technology,Deny,4-6 years,600–649,3.00–3.24
221,Male,False,3.09,Humanities,Asian,690.0,5.0,Other,Deny,4-6 years,650–699,3.00–3.24
222,Male,False,3.64,STEM,Black,680.0,4.0,PE/VC,Deny,4-6 years,650–699,3.50–3.74
223,Male,False,3.71,STEM,White,720.0,6.0,Other,Deny,4-6 years,700–749,3.50–3.74
224,Female,False,3.19,Business,Asian,630.0,5.0,Investment Banking,Admit,4-6 years,600–649,3.00–3.24
225,Female,False,3.24,STEM,Asian,670.0,4.0,Consulting,Admit,4-6 years,650–699,3.00–3.24
226,Male,False,3.01,Humanities,Asian,610.0,4.0,PE/VC,Deny,4-6 years,600–649,3.00–3.24
227,Male,False,3.4,Business,Asian,630.0,4.0,Consulting,Deny,4-6 years,600–649,3.25–3.49
228,Female,False,3.18,Humanities,Black,650.0,5.0,Consulting,Deny,4-6 years,600–649,3.00–3.24
229,Male,True,3.39,Humanities,International,650.0,6.0,Other,Deny,4-6 years,600–649,3.25–3.49
230,Female,False,3.06,STEM,Hispanic,640.0,6.0,Nonprofit/Gov,Deny,4-6 years,600–649,3.00–3.24
231,Male,True,3.01,Business,International,610.0,6.0,Technology,Deny,4-6 years,600–649,3.00–3.24
232,Male,False,3.34,Business,Asian,590.0,5.0,PE/VC,Deny,4-6 years,550–599,3.25–3.49
233,Male,True,3.34,STEM,International,680.0,8.0,Technology,Deny,7+ years,650–699,3.25–3.49
234,Male,True,3.33,STEM,International,720.0,5.0,Nonprofit/Gov,Admit,4-6 years,700–749,3.25–3.49
235,Male,False,3.4,STEM,Black,680.0,4.0,Other,Deny,4-6 years,650–699,3.25–3.49
236,Male,False,3.02,STEM,Black,590.0,5.0,Consulting,Deny,4-6 years,550–599,3.00–3.24
237,Male,False,3.49,Humanities,White,720.0,3.0,Consulting,Deny,1-3 years,700–749,3.25–3.49
238,Male,False,3.45,Humanities,White,710.0,4.0,PE/VC,Deny,4-6 years,700–749,3.25–3.49
239,Male,False,3.33,Humanities,White,660.0,5.0,Media/Entertainment,Deny,4-6 years,650–699,3.25–3.49
240,Female,False,3.27,Humanities,Black,680.0,5.0,Health Care,Deny,4-6 years,650–699,3.25–3.49
241,Female,False,3.15,Business,White,620.0,6.0,Technology,Admit,4-6 years,600–649,3.00–3.24
242,Female,False,3.11,STEM,Asian,620.0,4.0,Financial Services,Admit,4-6 years,600–649,3.00–3.24
243,Male,True,3.15,Humanities,International,590.0,5.0,Investment Management,Deny,4-6 years,550–599,3.00–3.24
244,Male,False,3.11,Business,Asian,600.0,7.0,PE/VC,Deny,7+ years,550–599,3.00–3.24
245,Male,False,3.17,Business,Asian,640.0,6.0,Other,Deny,4-6 years,600–649,3.00–3.24
246,Female,False,3.02,STEM,Asian,570.0,5.0,Other,Admit,4-6 years,550–599,3.00–3.24
247,Male,True,3.04,STEM,International,630.0,5.0,Other,Deny,4-6 years,600–649,3.00–3.24
248,Male,False,3.22,STEM,White,650.0,5.0,PE/VC,Deny,4-6 years,600–649,3.00–3.24
249,Male,True,3.77,STEM,International,780.0,5.0,Consulting,Deny,4-6 years,750–800,3.75–4.00
250,Female,False,3.31,Business,Hispanic,590.0,5.0,Nonprofit/Gov,Deny,4-6 years,550–599,3.25–3.49
251,Male,False,3.3,Humanities,Asian,660.0,4.0,Investment Banking,Deny,4-6 years,650–699,3.25–3.49
252,Male,False,3.26,Humanities,White,690.0,4.0,Nonprofit/Gov,Deny,4-6 years,650–699,3.25–3.49
253,Male,False,3.1,Humanities,White,570.0,5.0,Financial Services,Deny,4-6 years,550–599,3.00–3.24
254,Female,False,3.61,Humanities,Black,740.0,6.0,Health Care,Admit,4-6 years,700–749,3.50–3.74
255,Female,False,3.33,Business,Black,620.0,5.0,Consulting,Deny,4-6 years,600–649,3.25–3.49
256,Male,True,3.28,Humanities,International,750.0,3.0,Nonprofit/Gov,Deny,1-3 years,700–749,3.25–3.49
257,Female,False,3.47,STEM,Black,730.0,4.0,Technology,Deny,4-6 years,700–749,3.25–3.49
